,message,context
0,¿Cuál es el precio de un coche con 200 caballos?,1
1,¿Cuánto cuesta un coche de 2019?,1
2,"Quiero un coche que tenga más de 300 caballos, ¿cuál me recomiendas?",1
3,¿Hay coches de la marca Toyota disponibles?,1
4,¿Cuánto cuesta un coche con caja de cambios automática?,1
5,¿Qué coches tienen una cilindrada de más de 2000cc?,1
6,"Estoy buscando un coche con menos de 50.000 km, ¿tienen alguno disponible?",1
7,¿Cuántas marchas tienen los coches de la marca Ford?,1
8,"Quiero un coche diésel, ¿cuáles tienen disponibles?",1
9,¿Cuál es el precio de un coche eléctrico de la marca Tesla?,1
10,¿Tienen algún coche con cambio manual?,1
11,"Quiero un coche de la marca BMW, ¿cuáles tienen disponibles?",1
12,¿Qué coches tienen una cilindrada de menos de 1500cc?,1
13,"Estoy interesado en un coche con más de 400 caballos, ¿tienen alguno disponible?",1
14,¿Cuánto cuesta un coche con transmisión automática?,1
15,¿Cuántos kilómetros tienen los coches de la marca Audi?,1
16,¿Tienen algún coche híbrido disponible?,1
17,"Quiero un coche de la marca Mercedes, ¿cuáles tienen disponibles?",1
18,¿Cuál es el precio de un coche con más de 6 marchas?,1
19,¿Qué coches tienen una cilindrada de entre 1500cc y 2000cc?,1
20,¿Cuál es el precio estimado de un coche de 2015 con 100.000 km y motor de gasolina de 2.0L?,1
21,¿Qué coches tienes disponibles con motor diésel y caja de cambios manual?,1
22,¿Cuál es el precio promedio de un coche de la marca BMW de 2018 con menos de 50.000 km?,1
23,¿Tienes algún coche de la marca Audi con más de 250 caballos de fuerza?,1
24,¿Qué coches tienes disponibles con transmisión automática y más de 150 caballos de fuerza?,1
25,¿Cuál es el consumo promedio de un coche con motor de gasolina de 1.6L y caja de cambios manual?,1
26,¿Tienes algún coche de la marca Mercedes con menos de 50.000 km y motor diésel?,1
27,¿Qué coches tienes disponibles con menos de 100.000 km y motor de gasolina de 1.4L?,1
28,¿Cuál es el precio estimado de un coche de la marca Volkswagen de 2016 con 100.000 km y transmisión automática?,1
29,¿Tienes algún coche de la marca Ford con más de 200 caballos de fuerza y caja de cambios automática?,1
30,¿Qué coches tienes disponibles con motor de gasolina de 2.0L y caja de cambios manual?,1
31,¿Cuál es el consumo promedio de un coche de la marca Renault con motor diésel y caja de cambios automática?,1
32,¿Tienes algún coche de la marca Toyota con menos de 50.000 km y motor de gasolina?,1
33,¿Qué coches tienes disponibles con más de 6 marchas y motor diésel?,1
34,¿Cuál es el precio promedio de un coche de la marca Seat con más de 100.000 km y motor de gasolina?,1
35,¿Tienes algún coche de la marca Opel con más de 150 caballos de fuerza y menos de 100.000 km?,1
36,¿Qué coches tienes disponibles con motor de gasolina de 1.6L y caja de cambios automática?,1
37,¿Cuál es el consumo promedio de un coche de la marca Peugeot con motor diésel y más de 6 marchas?,1
38,¿Tienes algún coche de la marca Kia con menos de 50.000 km y transmisión automática?,1
39,¿Qué coches tienes disponibles con más de 250 caballos de fuerza y caja de cambios manual?,1
40,¿Cuál es el precio promedio de un coche de la marca Hyundai con menos de 100.000 km y motor diésel?,1
41,¿Tienes algún coche de la marca Citroen con motor de gasolina de 2.0L y menos de 50.000 km?,1
42,¿Qué coches tienes disponibles con motor de gasolina de 1.2L y caja de cambios manual?,1
43,¿Cuál es el consumo promedio de un coche de la marca Nissan con más de 100.000 km y motor de gasolina?,1
44,¿Tienes algún coche de la marca Skoda con menos de 50.000 km y motor diésel?,1
45,¿Qué coches tienes disponibles con transmisión automática y más de 200 caballos de fuerza?,1
46,¿Qué coches tienes disponibles del año 2021?,1
47,¿Tienes algún coche con más de 200 caballos?,1
48,"Quiero un coche con menos de 100.000 kilómetros, ¿qué opciones tienes?",1
49,¿Tienes coches con cilindrada superior a 2.0 litros?,1
50,"Estoy buscando un coche diésel, ¿qué opciones tienes?",1
51,¿Qué coches tienes con caja de cambios automática?,1
52,"Quiero un coche con al menos 6 marchas, ¿qué opciones tienes?",1
53,¿Tienes algún coche de la marca Mercedes?,1
54,¿Qué modelos de coches tienes de la marca BMW?,1
55,"Estoy interesado en un coche de la marca Audi, ¿tienes alguno disponible?",1
56,¿Qué coches tienes con una cilindrada entre 1.6 y 2.0 litros?,1
57,¿Tienes algún coche con más de 250 caballos?,1
58,"Quiero un coche con menos de 50.000 kilómetros, ¿qué opciones tienes?",1
59,¿Qué coches tienes disponibles de gasolina?,1
60,"Estoy buscando un coche con caja de cambios manual, ¿qué opciones tienes?",1
61,¿Qué coches tienes con una cilindrada superior a 3.0 litros?,1
62,"Quiero un coche con al menos 8 marchas, ¿qué opciones tienes?",1
63,¿Tienes algún coche de la marca Porsche?,1
64,¿Qué modelos de coches tienes de la marca Volkswagen?,1
65,"Estoy interesado en un coche de la marca Lexus, ¿tienes alguno disponible?",1
66,¿Cuánto cuesta un coche con más de 200 caballos?,1
67,"Quiero un coche con menos de 100.000 kilómetros, ¿cuáles son mis opciones?",1
68,¿Puedes recomendarme un coche de gasolina?,1
69,"Estoy buscando un coche con caja de cambios automática, ¿qué opciones tengo?",1
70,"Quiero un coche con más de 150 caballos, ¿cuáles son mis opciones?",1
71,¿Cuál es el precio promedio de un coche con cilindrada superior a 2.0?,1
72,"Busco un coche con más de 5 marchas, ¿cuáles son mis opciones?",1
73,¿Qué coches de la marca Toyota tienen cilindrada superior a 1.6?,1
74,"Estoy buscando un coche diésel, ¿qué opciones tengo?",1
75,"Quiero un coche con menos de 5 años de antigüedad, ¿cuáles son mis opciones?",1
76,¿Cuál es el precio promedio de un coche con más de 200 caballos?,1
77,"Estoy buscando un coche con menos de 50.000 kilómetros, ¿qué opciones tengo?",1
78,¿Puedes recomendarme un coche con cambio manual?,1
79,"Quiero un coche con más de 6 marchas, ¿cuáles son mis opciones?",1
80,¿Qué coches de la marca BMW tienen más de 150 caballos?,1
81,"Busco un coche con cilindrada superior a 1.8, ¿cuáles son mis opciones?",1
82,¿Cuál es el precio promedio de un coche con caja de cambios automática?,1
83,"Estoy buscando un coche gasolina, ¿qué opciones tengo?",1
84,"Quiero un coche con menos de 3 años de antigüedad, ¿cuáles son mis opciones?",1
85,¿Puedes recomendarme un coche con cilindrada superior a 2.5?,1
86,¿Cuántos caballos tiene el Audi A4 del 2015?,1
87,¿Me puedes decir el precio de un coche de segunda mano con menos de 100.000 kilómetros?,1
88,"Estoy buscando un coche con una cilindrada de al menos 2.0, ¿qué modelos me recomiendas?",1
89,"Quiero un coche diésel con cambio automático, ¿qué opciones tengo?",1
90,¿Cuál es el precio de un Mercedes Benz Clase A del 2018 con menos de 50.000 km?,1
91,¿Qué coches hay disponibles con una caja de cambios manual?,1
92,¿Podrías decirme cuánto cuesta un coche eléctrico con más de 400 km de autonomía?,1
